"","taxa","found","synonyms","accepted_name","common_name","kingdom","phylum","class","order","family","genus","energy_source","thermoregulation","nutrition_source","bodymass","bodymass_range","jones_X5.1_AdultBodyMass_g","tacutu_Adult.weight..g.","slavenko_Maximum_mass_g","fishbase_Weight","oliveira_Body_mass_g","myhrvold_adult_body_mass_g","earnst_mass.g.","lislevand_M_mass","lislevand_F_mass","wilman_bird_BodyMass.Value","wilman_mam_BodyMass.Value","pacifici_AdultBodyMass_g"
"1","Cuculus poliocephalus",TRUE,NA,"Cuculus poliocephalus","Lesser Cuckoo","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","heterotroph","endotherm","carnivore",49,14,NA,NA,NA,NA,NA,51,NA,54.2,40,46.56,NA,NA
"2","Indicator variegatus",TRUE,NA,"Indicator variegatus","Scaly-throated Honeyguide","Animalia","Chordata","Aves","Piciformes","Indicatoridae","Indicator","heterotroph","endotherm","herbivore",48.5,1,NA,NA,NA,NA,NA,48.15,NA,48.5,47.8,48.76,NA,NA
"3","Indicator minor",TRUE,NA,"Indicator minor","Lesser Honeyguide","Animalia","Chordata","Aves","Piciformes","Indicatoridae","Indicator","heterotroph","endotherm","herbivore",28,3,NA,NA,NA,NA,NA,28.75,NA,27.5,25.6,28.2,NA,NA
"4","Indicator indicator",TRUE,NA,"Indicator indicator","Greater Honeyguide","Animalia","Chordata","Aves","Piciformes","Indicatoridae","Indicator","heterotroph","endotherm","herbivore",49.5,4,NA,NA,NA,NA,NA,51.4,NA,48.9,46.8,50.4,NA,NA
"5","Indicator meliphilus",TRUE,NA,"Indicator meliphilus","Pallid Honeyguide","Animalia","Chordata","Aves","Piciformes","Indicatoridae","Indicator","heterotroph","endotherm","carnivore",14,4,NA,NA,NA,NA,NA,16.4,NA,16,11.8,14.04,NA,NA
"6","Lybius leucocephalus",TRUE,NA,"Lybius leucocephalus","White-headed Barbet","Animalia","Chordata","Aves","Piciformes","Ramphastidae","Lybius","heterotroph","endotherm","herbivore",63,2,NA,NA,NA,NA,NA,62.5,NA,63.8,61.8,62.79,NA,NA
"7","Trachyphonus usambiro",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Trachyphonus darnaudii",TRUE,NA,"Trachyphonus darnaudii","D'Arnaud's Barbet","Animalia","Chordata","Aves","Piciformes","Ramphastidae","Trachyphonus","heterotroph","endotherm","omnivore",37,10,NA,NA,NA,NA,NA,36.65,NA,45.8,46.4,35.75,NA,NA
"9","Tricholaema lacrymosa",TRUE,NA,"Tricholaema lacrymosa","Spot-flanked Barbet","Animalia","Chordata","Aves","Piciformes","Ramphastidae","Tricholaema","heterotroph","endotherm","herbivore",23.5,1,NA,NA,NA,NA,NA,22.9,NA,23.1,24.5,22.9,NA,NA
"10","Pogoniulus pusillus",TRUE,NA,"Pogoniulus pusillus","Red-fronted Tinkerbird","Animalia","Chordata","Aves","Piciformes","Ramphastidae","Pogoniulus","heterotroph","endotherm","herbivore",9.5,1,NA,NA,NA,NA,NA,9.425,NA,NA,NA,9.6,NA,NA
"11","Tricholaema diademata",TRUE,NA,"Tricholaema diademata","Red-fronted Barbet","Animalia","Chordata","Aves","Piciformes","Ramphastidae","Tricholaema","heterotroph","endotherm","omnivore",30.5,1,NA,NA,NA,NA,NA,30.1,NA,30.5,29.7,30.6,NA,NA
