,taxa,n_jones,n_kissling,n_wilman_bird,n_olivira,nutrition_source,n_ambigous
4,Accipiter badius,NA,NA,carnivore,NA,carnivore,FALSE
5,Accipiter melanoleucus,NA,NA,carnivore,NA,carnivore,FALSE
6,Accipiter minullus,NA,NA,carnivore,NA,carnivore,FALSE
7,Accipiter nisus,NA,NA,carnivore,NA,carnivore,FALSE
8,Accipiter ovampensis,NA,NA,carnivore,NA,carnivore,FALSE
9,Accipiter rufiventris,NA,NA,carnivore,NA,carnivore,FALSE
10,Accipiter tachiro,NA,NA,carnivore,NA,carnivore,FALSE
13,Acinonyx jubatus,carnivore,carnivore,NA,NA,carnivore,FALSE
16,Acrocephalus arundinaceus,NA,NA,carnivore,NA,carnivore,FALSE
17,Acrocephalus baeticatus,NA,NA,carnivore,NA,carnivore,FALSE
18,Acrocephalus gracilirostris,NA,NA,carnivore,NA,carnivore,FALSE
19,Acrocephalus schoenobaenus,NA,NA,carnivore,NA,carnivore,FALSE
20,Acrocephalus scirpaceus,NA,NA,carnivore,NA,carnivore,FALSE
22,Actophilornis africanus,NA,NA,carnivore,NA,carnivore,FALSE
23,Aenigmatolimnas marginalis,NA,NA,carnivore,NA,carnivore,FALSE
37,Alcedo cristata,NA,NA,carnivore,NA,carnivore,FALSE
44,Amietophrynus gutturalis,NA,NA,NA,carnivore,carnivore,FALSE
45,Anaplectes rubriceps,NA,NA,carnivore,NA,carnivore,FALSE
54,Anastomus lamelligerus,NA,NA,carnivore,NA,carnivore,FALSE
59,Anhinga rufa,NA,NA,carnivore,NA,carnivore,FALSE
62,Anthoscopus caroli,NA,NA,carnivore,NA,carnivore,FALSE
63,Anthreptes collaris,NA,NA,carnivore,NA,carnivore,FALSE
64,Anthreptes orientalis,NA,NA,carnivore,NA,carnivore,FALSE
65,Anthus caffer,NA,NA,carnivore,NA,carnivore,FALSE
66,Anthus cervinus,NA,NA,carnivore,NA,carnivore,FALSE
67,Anthus leucophrys,NA,NA,carnivore,NA,carnivore,FALSE
68,Anthus richardi,NA,NA,carnivore,NA,carnivore,FALSE
69,Anthus similis,NA,NA,carnivore,NA,carnivore,FALSE
70,Anthus trivialis,NA,NA,carnivore,NA,carnivore,FALSE
71,Anthus vaalensis,NA,NA,carnivore,NA,carnivore,FALSE
76,Apalis alticola,NA,NA,carnivore,NA,carnivore,FALSE
77,Apalis cinerea,NA,NA,carnivore,NA,carnivore,FALSE
78,Apalis flavida,NA,NA,carnivore,NA,carnivore,FALSE
79,Apalis jacksoni,NA,NA,carnivore,NA,carnivore,FALSE
80,Apalis karamojae,NA,NA,carnivore,NA,carnivore,FALSE
81,Apalis porphyrolaema,NA,NA,carnivore,NA,carnivore,FALSE
82,Apaloderma narina,NA,NA,carnivore,NA,carnivore,FALSE
83,Apaloderma vittatum,NA,NA,carnivore,NA,carnivore,FALSE
85,Apus affinis,NA,NA,carnivore,NA,carnivore,FALSE
86,Apus apus,NA,NA,carnivore,NA,carnivore,FALSE
87,Apus barbatus,NA,NA,carnivore,NA,carnivore,FALSE
88,Apus caffer,NA,NA,carnivore,NA,carnivore,FALSE
89,Apus horus,NA,NA,carnivore,NA,carnivore,FALSE
90,Apus niansae,NA,NA,carnivore,NA,carnivore,FALSE
91,Apus toulsoni,NA,NA,carnivore,NA,carnivore,FALSE
92,Aquila heliaca,NA,NA,carnivore,NA,carnivore,FALSE
93,Aquila nipalensis,NA,NA,carnivore,NA,carnivore,FALSE
94,Aquila pomarina,NA,NA,carnivore,NA,carnivore,FALSE
95,Aquila rapax,NA,NA,carnivore,NA,carnivore,FALSE
96,Aquila wahlbergi,NA,NA,carnivore,NA,carnivore,FALSE
97,Ardea cinerea,NA,NA,carnivore,NA,carnivore,FALSE
98,Ardea goliath,NA,NA,carnivore,NA,carnivore,FALSE
99,Ardea melanocephala,NA,NA,carnivore,NA,carnivore,FALSE
100,Ardea purpurea,NA,NA,carnivore,NA,carnivore,FALSE
101,Ardeola idae,NA,NA,carnivore,NA,carnivore,FALSE
102,Ardeola ralloides,NA,NA,carnivore,NA,carnivore,FALSE
103,Ardeola rufiventris,NA,NA,carnivore,NA,carnivore,FALSE
105,Arenaria interpres,NA,NA,carnivore,NA,carnivore,FALSE
108,Asio capensis,NA,NA,carnivore,NA,carnivore,FALSE
112,Aviceda cuculoides,NA,NA,carnivore,NA,carnivore,FALSE
113,Balaeniceps rex,NA,NA,carnivore,NA,carnivore,FALSE
118,Batis molitor,NA,NA,carnivore,NA,carnivore,FALSE
120,Bdeogale crassicauda,carnivore,carnivore,NA,NA,carnivore,FALSE
122,Bostrychia hagedash,NA,NA,carnivore,NA,carnivore,FALSE
123,Bradornis microrhynchus,NA,NA,carnivore,NA,carnivore,FALSE
124,Bradornis pallidus,NA,NA,carnivore,NA,carnivore,FALSE
125,Bradypterus cinnamomeus,NA,NA,carnivore,NA,carnivore,FALSE
126,Bradypterus lopezi,NA,NA,carnivore,NA,carnivore,FALSE
128,Bubo africanus,NA,NA,carnivore,NA,carnivore,FALSE
129,Bubo capensis,NA,NA,carnivore,NA,carnivore,FALSE
130,Bubo lacteus,NA,NA,carnivore,NA,carnivore,FALSE
131,Bubulcus ibis,NA,NA,carnivore,NA,carnivore,FALSE
132,Bucorvus cafer,NA,NA,carnivore,NA,carnivore,FALSE
133,Buphagus africanus,NA,NA,carnivore,NA,carnivore,FALSE
134,Buphagus erythrorhynchus,NA,NA,carnivore,NA,carnivore,FALSE
135,Burhinus capensis,NA,NA,carnivore,NA,carnivore,FALSE
136,Burhinus vermiculatus,NA,NA,carnivore,NA,carnivore,FALSE
137,Butastur rufipennis,NA,NA,carnivore,NA,carnivore,FALSE
138,Buteo augur,NA,NA,carnivore,NA,carnivore,FALSE
139,Buteo buteo,NA,NA,carnivore,NA,carnivore,FALSE
140,Buteo oreophilus,NA,NA,carnivore,NA,carnivore,FALSE
141,Butorides striata,NA,NA,carnivore,NA,carnivore,FALSE
147,Calandrella somalica,NA,NA,carnivore,NA,carnivore,FALSE
148,Calidris alba,NA,NA,carnivore,NA,carnivore,FALSE
149,Calidris ferruginea,NA,NA,carnivore,NA,carnivore,FALSE
150,Calidris minuta,NA,NA,carnivore,NA,carnivore,FALSE
151,Calidris temminckii,NA,NA,carnivore,NA,carnivore,FALSE
153,Camaroptera brachyura,NA,NA,carnivore,NA,carnivore,FALSE
154,Camaroptera simplex,NA,NA,carnivore,NA,carnivore,FALSE
