Mass bin lower bound,Mass bin upper bound
1000000.000000000,1010000.000000000
900000.000000000,1000000.000000000
800000.000000000,900000.000000000
700000.000000000,800000.000000000
600000.000000000,700000.000000000
500000.000000000,600000.000000000
400000.000000000,500000.000000000
300000.000000000,400000.000000000
200000.000000000,300000.000000000
100000.000000000,200000.000000000
90000.000000000,100000.000000000
80000.000000000,90000.000000000
70000.000000000,80000.000000000
60000.000000000,70000.000000000
50000.000000000,60000.000000000
40000.000000000,50000.000000000
30000.000000000,40000.000000000
20000.000000000,30000.000000000
10000.000000000,20000.000000000
9000.000000000,10000.000000000
8000.000000000,9000.000000000
7000.000000000,8000.000000000
6000.000000000,7000.000000000
5000.000000000,6000.000000000
4000.000000000,5000.000000000
3000.000000000,4000.000000000
2000.000000000,3000.000000000
1000.000000000,2000.000000000
900.000000000,1000.000000000
800.000000000,900.000000000
700.000000000,800.000000000
600.000000000,700.000000000
500.000000000,600.000000000
400.000000000,500.000000000
300.000000000,400.000000000
200.000000000,300.000000000
100.000000000,200.000000000
90.000000000,100.000000000
80.000000000,90.000000000
70.000000000,80.000000000
60.000000000,70.000000000
50.000000000,60.000000000
40.000000000,50.000000000
30.000000000,40.000000000
20.000000000,30.000000000
10.000000000,20.000000000
9.000000000,10.000000000
8.000000000,9.000000000
7.000000000,8.000000000
6.000000000,7.000000000
5.000000000,6.000000000
4.000000000,5.000000000
3.000000000,4.000000000
2.000000000,3.000000000
1.000000000,2.000000000
0.900000000,1.000000000
0.800000000,0.900000000
0.700000000,0.800000000
0.600000000,0.700000000
0.500000000,0.600000000
0.400000000,0.500000000
0.300000000,0.400000000
0.200000000,0.300000000
0.100000000,0.200000000
0.090000000,0.100000000
0.080000000,0.090000000
0.070000000,0.080000000
0.060000000,0.070000000
0.050000000,0.060000000
0.040000000,0.050000000
0.030000000,0.040000000
0.020000000,0.030000000
0.010000000,0.020000000
0.001000000,0.010000000
0.000100000,0.001000000
0.000010000,0.000100000
0.000001000,0.000010000
