Scientific Name,Common Name,Family,Taxonomic Group
Cuculus poliocephalus,Lesser Cuckoo,Cuculidae,Birds
Indicator variegatus,Scaly-Throated Honeyguide,Indicatoridae,Birds
Indicator minor,Lesser Honeyguide,Indicatoridae,Birds
Indicator indicator,Greater Honeyguide,Indicatoridae,Birds
Indicator meliphilus,Eastern Least Honeyguide,Indicatoridae,Birds
Lybius leucocephalus,White-Headed Barbet,Ramphastidae,Birds
Trachyphonus usambiro,Usambiro Barbet,Ramphastidae,Birds
Trachyphonus darnaudii,Usambiro Barbet,Ramphastidae,Birds
Tricholaema lacrymosa,Spot-Flanked Barbet,Ramphastidae,Birds
Pogoniulus pusillus,Red-Fronted Tinkerbird,Ramphastidae,Birds
Tricholaema diademata,Red-Fronted Barbet,Ramphastidae,Birds
Trachyphonus erythrocephalus,Red-And-Yellow Barbet,Ramphastidae,Birds
Pogoniulus leucomystax,Moustached Tinkerbird,Ramphastidae,Birds
Trachyphonus vaillantii,Levaillant's Barbet,Ramphastidae,Birds
Lybius bidentatus,Double-Toothed Barbet,Ramphastidae,Birds
Tricholaema melanocephala,Black-Throated Barbet,Ramphastidae,Birds
Lybius guifsobalito,Black-Billed Barbet,Ramphastidae,Birds
Coracias naevia,Rufous-Crowned Roller,Coraciidae,Birds
Coracias garrulus,Roller,Coraciidae,Birds
Coracias caudatus,Lilac Breasted Roller,Coraciidae,Birds
Eurystomus glaucurus,Broad-Billed Roller,Coraciidae,Birds
Merops albicollis,White-Throated Bee-Eater,Meropidae,Birds
Merops superciliosus,Madagascar Bee-Eater,Meropidae,Birds
Merops pusillus,Little Bee-Eater,Meropidae,Birds
Merops oreobates,Cinnamon-Chested Bee-Eater,Meropidae,Birds
Merops persicus,Blue-Cheeked Bee-Eater,Meropidae,Birds
Halcyon senegalensis,Woodland Kingfisher,Alcedinidae,Birds
Halcyon chelicuti,Striped Kingfisher,Alcedinidae,Birds
Ceryle rudis,Pied Kingfisher,Alcedinidae,Birds
Alcedo cristata,Malachite Kingfisher,Alcedinidae,Birds
Halcyon leucocephala,Grey-Headed Kingfisher,Alcedinidae,Birds
Megaceryle maxima,Giant Kingfisher,Alcedinidae,Birds
Ceyx pictus,African Pygmy Kingfisher,Alcedinidae,Birds
Tockus deckeni,Von Der Decken's Hornbill,Bucerotidae,Birds
Bycanistes bucinator,Trumpeter Hornbill,Bucerotidae,Birds
Bycanistes brevis,Silvery Cheeked Hornbill,Bucerotidae,Birds
Tockus erythrorhynchus,Red-Billed Hornbill,Bucerotidae,Birds
Tockus flavirostris,Eastern Yellow Billed Hornbill,Bucerotidae,Birds
Tockus alboterminatus,Crowned Hornbill,Bucerotidae,Birds
Bycanistes subcylindricus,Black And White Casqued Hornbill,Bucerotidae,Birds
Tockus nasutus,African Grey Hornbill,Bucerotidae,Birds
Bucorvus cafer,Southern Ground-Hornbill,Bucorvidae,Birds
Phoeniculus bollei,White-Headed Woodhoopoe,Phoeniculidae,Birds
Phoeniculus purpureus,Green Woodhoopoe,Phoeniculidae,Birds
Rhinopomastus cyanomelas,Common Scimitar-Bill,Phoeniculidae,Birds
Rhinopomastus minor,Abyssinian Scimitar-Bill,Phoeniculidae,Birds
Upupa epops,Hoopoe,Upupidae,Birds
Apaloderma narina,Narina Trogon,Trogonidae,Birds
Apaloderma vittatum,Bar-Tailed Trogon,Trogonidae,Birds
Colius leucocephalus,White-Headed Mousebird,Coliidae,Birds
Colius striatus,Speckled Mousebird,Coliidae,Birds
Urocolius macrourus,Blue-Naped Mousebird,Coliidae,Birds
Apus caffer,White-Rumped Swift,Apodidae,Birds
Schoutedenapus myoptilus,Scarce Swift,Apodidae,Birds
Apus niansae,Nyanza Swift,Apodidae,Birds
Tachymarptis aequatorialis,Mottled Swift,Apodidae,Birds
Apus toulsoni,Loanda Swift,Apodidae,Birds
Apus affinis,Little Swift,Apodidae,Birds
Apus horus,Horus Swift,Apodidae,Birds
Apus apus,Common Swift,Apodidae,Birds
Tachymarptis melba,Alpine Swift,Apodidae,Birds
Apus barbatus,African Swift,Apodidae,Birds
Cypsiurus parvus,African Palm-Swift,Apodidae,Birds
Caprimulgus fraenatus,Sombre Nightjar,Caprimulgidae,Birds
Caprimulgus clarus,Slender Tailed Nightjar,Caprimulgidae,Birds
Caprimulgus inornatus,Plain Nightjar,Caprimulgidae,Birds
Caprimulgus poliocephalus,Montane Nightjar,Caprimulgidae,Birds
Caprimulgus fossii,Gaboon Nightjar,Caprimulgidae,Birds
Caprimulgus tristigma,Freckled Nightjar,Caprimulgidae,Birds
Caprimulgus europaeus,European Nightjar,Caprimulgidae,Birds
Caprimulgus donaldsoni,Donaldson-Smith's Nightjar,Caprimulgidae,Birds
Otus leucotis,White-Faced Scops-Owl,Strigidae,Birds
Bubo lacteus,Verreaux's Eagle-Owl,Strigidae,Birds
Bubo africanus,Spotted Eagle-Owl,Strigidae,Birds
Ptilopsis granti,Southern White-Faced Owl,Strigidae,Birds
Scotopelia peli,Pel's Fishing-Owl,Strigidae,Birds
Glaucidium perlatum,Pearl-Spotted Owlet,Strigidae,Birds
Asio capensis,Marsh Owl,Strigidae,Birds
Glaucidium capense,Ituri Owlet,Strigidae,Birds
Bubo capensis,Cape Eagle-Owl,Strigidae,Birds
Strix woodfordii,African Wood-Owl,Strigidae,Birds
Otus senegalensis,African Scops Owl,Strigidae,Birds
Tyto alba,Barn Owl,Tytonidae,Birds
Tyto capensis,Austalasian Grass-Owl,Tytonidae,Birds
Cuculus solitarius,Red-Chested Cuckoo,Cuculidae,Birds
Cuculus rochii,Madagascar Cuckoo,Cuculidae,Birds
Clamator levaillantii,Levaillant's Cuckoo,Cuculidae,Birds
Chrysococcyx klaas,Klaas' Cuckoo,Cuculidae,Birds
Clamator glandarius,Great Spotted Cuckoo,Cuculidae,Birds
Chrysococcyx caprius,Dideric Cuckoo,Cuculidae,Birds
Cuculus canorus,Common Cuckoo,Cuculidae,Birds
Centropus superciliosus,Burchell's Coucal,Cuculidae,Birds
Cuculus clamosus,Black Cuckoo,Cuculidae,Birds
Centropus grillii,Black Coucal,Cuculidae,Birds
Clamator jacobinus,Black-And-White Cuckoo,Cuculidae,Birds
Chrysococcyx cupreus,African Emerald Cuckoo,Cuculidae,Birds
Cuculus gularis,African Cuckoo,Cuculidae,Birds
Corythaixoides leucogaster,White-Bellied Go-Away-Bird,Musophagidae,Birds
Tauraco schalowi,Schalow's Turaco,Musophagidae,Birds
Musophaga rossae,Ross' Turaco,Musophagidae,Birds
Tauraco hartlaubi,Hartlaub's Turaco,Musophagidae,Birds
Crinifer zonurus,Eastern Grey Plantain-Eater,Musophagidae,Birds
Corythaixoides personatus,Bare-Faced Go-Away-Bird,Musophagidae,Birds
Turtur tympanistria,Tambourine Dove,Columbidae,Birds
Columba guinea,Speckled Pigeon,Columbidae,Birds
Columba livia,Rock Dove,Columbidae,Birds
Streptopelia capicola,Ring-Necked Dove,Columbidae,Birds
Streptopelia semitorquata,Red-Eyed Dove,Columbidae,Birds
Oena capensis,Namaqua Dove,Columbidae,Birds
Streptopelia decipiens,Mourning Collared-Dove,Columbidae,Birds
Stigmatopelia senegalensis,Laughing Dove,Columbidae,Birds
Turtur chalcospilos,Emerald-Spotted Wood-Dove,Columbidae,Birds
Streptopelia lugens,Dusky Turtle-Dove,Columbidae,Birds
Columba delegorguei,Delegorgue's Pigeon,Columbidae,Birds
Turtur afer,Blue-Spotted Wood-Dove,Columbidae,Birds
Columba arquatrix,African Pigeon,Columbidae,Birds
Treron calvus,African Green Pigeon,Columbidae,Birds
Pterocles gutturalis,Yellow-Throated Sandgrouse,Pteroclididae,Birds
Pterocles exustus,Chestnut-Bellied Sandgrouse,Pteroclididae,Birds
Pterocles decoratus,Black-Faced Sandgrouse,Pteroclididae,Birds
Chlidonias leucopterus,White-Winged Black Tern,Laridae,Birds
